No,User Name,Rating Bintang,Tanggal,Ulasan Asli,Ulasan Preprocessing,Skor Sentimen,Sentimen Teks,Status Kesesuaian,Keterangan Anomali
425,Rico Ramananda,5,2026-09-08,Terbaikkkkkk,terbaik,3,Positif,MATCH,
426,Juliusperkasa Putra,1,2026-09-08,"ini kode otp ga masuk"" apa mungkin masuknya pas kiamat",ini kode otp tidak masuk apa mungkin masuknya pas kiamat,0,Netral,MATCH,
427,teguh suprianto,1,2026-09-08,verifikasi wajah susah bnget,verifikasi wajah sulit bnget,-2.5,Negatif,MATCH,
428,Nur Fadilla,5,2026-09-08,sjk donlod aplikasi ini semua gampang,sjk donlod aplikasi ini semua gampang,0,Netral,MATCH,
429,Mama Tama,5,2026-09-08,cepat dan akurat,cepat dan akurat,2.5,Positif,MATCH,
430,andrie daud,5,2026-09-08,Sangat membanting,sangat membanting,0,Netral,MATCH,
431,amat yasir,5,2026-09-08,pelayanan oke,pelayanan oke,1.5,Positif,MATCH,
432,slamet fajar,5,2026-09-08,ok,ok,1.5,Positif,MATCH,
433,Faisal Abdul lontoh Ferri,5,2026-09-08,mudah dan membantu,mudah dan membantu,5.5,Positif,MATCH,
434,Riani Ani,5,2026-09-08,Bagus dan sangat membantu,bagus dan sangat membantu,5,Positif,MATCH,
435,Ariansyah,1,2026-09-08,lemot,lambat,-2.5,Negatif,MATCH,
436,DienN 2423j,1,2026-09-08,tidak mendapat kode otp,tidak mendapat kode otp,0,Netral,MATCH,
437,M. Naufal Ramadhan Dias,5,2026-09-08,sangat mudah untuk mengganti dokter faskes 1 dan berobat,sangat mudah untuk mengganti dokter faskes 1 dan berobat,2.5,Positif,MATCH,
438,Wawan Julian,5,2026-09-08,mudah digunakan dan memudahkan masyarakat,mudah digunakan dan memudahkan masyarakat,5.5,Positif,MATCH,
439,indi harin Mustofa,5,2026-09-08,aplikasi sangat bermanfaat bagi masyarakat,aplikasi sangat bermanfaat bagi masyarakat,3,Positif,MATCH,
440,Alfine Nanda,1,2026-09-08,"mohon maaf sebelumnya, apk nya ribet bangettt masih verifikasi kode otp lewat email, verifikasi kode otp pake no hp, pas udah kita ketik no hp selalu eror udah saya coba lebih dari 10X dari kemaren tapi masih tetep aja, katanya pulsa minimal 5K sedangkan pulsa saya ada 15K tapi tetep ga bisa, sedangkan dari tim kesehatan di RS atau puskesmas harus make apk jkn dan pas saya bilang ga bisa mereka juga bingung? adek saya juga sudah mencoba di hp nya sendiri tapi ga bisa juga? mohon maaf dan makasih",mohon maaf sebelumnya aplikasi nya rumit banget masih verifikasi kode otp lewat email verifikasi kode otp pake no hp pas udah kita ketik no hp selalu error udah saya coba lebih dari 10x dari kemaren tapi masih tetep aja katanya pulsa minimal 5k sedangkan pulsa saya ada 15k tapi tetep tidak bisa sedangkan dari tim kesehatan di rs atau puskesmas harus make aplikasi jkn dan pas saya bilang tidak bisa mereka juga bingung adek saya juga sudah mencoba di hp nya sendiri tapi tidak bisa juga mohon maaf dan makasih,-2.5,Negatif,MATCH,
441,Asha Hijra,4,2026-09-08,mantap semoga lancar jaya !,mantap semoga lancar jaya,5.5,Positif,MATCH,
442,Febri Ardiansyah,5,2026-09-08,ok,ok,1.5,Positif,MATCH,
443,Tutut Santoso,5,2026-09-08,"mau periksa harus daftar lewat aplikasi, tp kenapa aplikasinya error. no connection, pdhl paketan masih 26GB 🥲",mau periksa harus daftar lewat aplikasi tapi kenapa aplikasinya error no connection pdhl paketan masih 26gb,-2.5,Negatif,MISMATCH_HIGH_RATING,"Rating bintang tinggi (4-5), namun isi ulasan memuat kritik/keluhan tajam"
444,Aldidesu,1,2026-09-08,"aplikasi pemerintah ga ada yang bener. captcha ga jelas, verif nomer hape hatus pake pulsa. gojek aja bisa pake WhatsApp yang mana pake paket data. hari gini tuh udah ga banyak orang yang punya pulsa, punyanya paket data. rugi gue kudu beli pulsa 5000 cuma buat pindah puskesmas",aplikasi pemerintah tidak ada yang benar captcha tidak jelas verif nomer hape hatus pake pulsa gojek aja bisa pake whatsapp yang mana pake paket data hari gini tuh udah tidak banyak orang yang punya pulsa punyanya paket data rugi gue kudu beli pulsa 50 cuma buat pindah puskesmas,-4.35,Negatif,MATCH,
445,Peri Kecil,4,2026-09-08,"meski udah daftar antrian online.tetep aja dilokasi antri sesuai urutan yg dilokasi,meskipun antrian di JKN no. 2",meski udah daftar antrean online tetep aja dilokasi antri sesuai urutan yang dilokasi meskipun antrean di jkn no 2,0,Netral,MATCH,
446,abdullah said,1,2026-09-08,Yang bisa akses hanya HP tipe tinggi Kurang tepat sasaran Kasihan yang dikampung HP jadul ga bisa akses Apakah harus beli HP dulu. Padahal lagi sakit parah. Uang jg pas pasan... Astaghfirullah 😥,yang bisa akses hanya hp tipe tinggi kurang tepat sasaran kasihan yang dikampung hp jadul tidak bisa akses apakah harus beli hp dulu padahal lagi sakit buruk uang jg pas pasan astaghfirullah,-3,Negatif,MATCH,
447,santi dwi,5,2026-09-08,oke,oke,1.5,Positif,MATCH,
448,Imank Sudirman,5,2026-09-08,mantap,mantap,3,Positif,MATCH,
449,Satrio Sambodo,1,2026-09-08,"ferivikasi mental semua, lewat sms, WA bahkan wajah, bikin g nyaman... akses ksehatan malah terganggu... pengen cepet tmbah bkin ribet... perbaikin doooong...!!!",ferivikasi mental semua lewat sms wa bahkan wajah bikin g nyaman akses ksehatan malah terganggu pengen cepet tmbah bikin rumit perbaiki dong,-2,Negatif,MATCH,
450,Kii Alvakista,1,2026-09-08,"apk buatann Indonesia emang bikin darah tinggi anj, suka sering error!",aplikasi buatann indonesia emang bikin darah tinggi anj suka sering error,-0.5,Netral,MATCH,
451,Rizky Permatasari,5,2026-09-08,mantaap udah lebih bagus aplikasi nya sangat mempermudah,mantaap udah lebih bagus aplikasi nya sangat mempermudah,2,Positif,MATCH,
452,Fauzi Ilyas,1,2026-09-08,mau ambil antrean mala gak bisa disuruh hububgi call centre atau cs nya uda dihubungi mala gak ada solusi ribet banget jkn,mau ambil antrean mala tidak bisa disuruh hububgi call centre atau cs nya uda dihubungi mala tidak ada solusi rumit banget jkn,-2,Negatif,MATCH,
453,Cullenk Fellaini,1,2026-09-07,aplikasi tolol ngeblank terus gak bisa di buka goblokk,aplikasi tolol ngeblank terus tidak bisa di buka goblokk,0,Netral,MATCH,
454,Kardi Airin,5,2026-09-07,terima kasih,terima kasih,2,Positif,MATCH,
455,Ichika Nanakiy,2,2026-09-07,tolong kalau buat aplikasi yang mudah tagihan muncul tapi tidak ada cara membayar nya......,tolong kalau buat aplikasi yang mudah tagihan muncul tapi tidak ada cara membayar nya,2.5,Positif,MISMATCH_LOW_RATING,Salah klik rating / Human error (Isi ulasan berupa pujian murni)
456,Firman saragih,1,2026-09-07,"aplikasi apaan begini, daftar pun gk bisa, gk jelas banget",aplikasi apaan begini daftar pun tidak bisa tidak jelas banget,-1.35,Negatif,MATCH,
457,JEVERSTEINE,1,2026-09-07,menu yang penting malah tidak di tampilkan mau bayar iuran tidak tau dimana .....,menu yang penting malah tidak di tampilkan mau bayar iuran tidak tau dimana,0,Netral,MATCH,
458,Abe Ganteng,1,2026-09-07,apk lelet konfirmasi nomor TPI tidak kunjung dapat sms,aplikasi lambat konfirmasi nomor tpi tidak kunjung dapat sms,-2.5,Negatif,MATCH,
459,Rohim Oim,5,2026-09-07,terima kasih sudah terbantu,terima kasih sudah terbantu,2,Positif,MATCH,
460,Asep Saepudin,1,2026-09-07,aplikasi eror mulu,aplikasi error terus,-2.5,Negatif,MATCH,
461,Nyoman Supatra,5,2026-09-07,aplikasi bagus,aplikasi bagus,2,Positif,MATCH,
462,Suwari Aldi,1,2026-09-07,nges3lin....login masuk salah nik lah salah pasword lah aneh...bikin kesel...,nges3lin login masuk salah nik lah salah pasword lah aneh bikin kesel,0,Netral,MATCH,
463,indra mahendra,4,2026-09-07,"cukup bagus, hanya saja untuk verifikasi wajah agak lama. tolong diperbaiki. terimakasih.",cukup bagus hanya saja untuk verifikasi wajah agak lama tolong diperbaiki terimakasih,0,Netral,MATCH,
464,Safira EgaSatryo,1,2026-09-07,mau download g bisa mulu kenapa woiii,mau download g bisa terus kenapa woi,0,Netral,MATCH,
465,Pratama Hadi,1,2026-09-07,aplikasi merepotkan bagi yang ingin berobat. payah,aplikasi merepotkan bagi yang ingin berobat payah,-3,Negatif,MATCH,
466,Azrilrifqi Azrilrifqi,5,2026-09-07,keren sih aplikasi ini sangat membantu mudah masuk setiap 1x bulan,keren sih aplikasi ini sangat membantu mudah masuk setiap 1x bulan,8,Positif,MATCH,
467,Dian Wahyuni,5,2026-09-07,muda bget,muda bget,0,Netral,MATCH,
468,Aguk Supriyanto,1,2026-09-07,gak bisa di buka,tidak bisa di buka,0,Netral,MATCH,
469,Nadhira Valyn,1,2026-09-07,"aplikasi bujang , apa harus orang kaya baru di permudah , jangan download , rakyat kecil ini selalu di persulit verifikasi nomor lebih 1 jam ,dan hasilnya coba lagi",aplikasi bujang apa harus orang kaya baru di permudah jangan download rakyat kecil ini selalu di persulit verifikasi nomor lebih 1 jam dan hasilnya coba lagi,0,Netral,MATCH,
470,Farid Fatahilah,1,2026-09-07,masak kode nya ga ter kirim ke sms,masak kode nya tidak ter kirim ke sms,0,Netral,MATCH,
471,andi turnip,5,2026-09-07,ok,ok,1.5,Positif,MATCH,
472,Yahya Ardian Yuma Pracesa,1,2026-09-07,ngestuck di logo page,ngestuck di logo page,0,Netral,MATCH,
473,Evi tania,5,2026-09-07,ini gimana yaa saya mau download aplikasi ini ko ga da yaa di play store,ini gimana yaa saya mau download aplikasi ini ko tidak da yaa di play store,0,Netral,MATCH,
474,sindi aditiya,5,2026-09-07,terimakasih bnyak mobile jkn💑,terimakasih bnyak mobile jkn,0,Netral,MATCH,
475,Siti Marnah,4,2026-09-07,ribet mana aplikasinya mental terus,rumit mana aplikasinya mental terus,-4.5,Negatif,MISMATCH_HIGH_RATING,"Rating bintang tinggi (4-5), namun isi ulasan memuat kritik/keluhan tajam"
476,Eko Priyanto,5,2026-09-07,mudah,mudah,2.5,Positif,MATCH,
477,Radit Aminoto,1,2026-09-07,mau daftar susah amat minn,mau daftar sulit amat minn,-2.5,Negatif,MATCH,
478,Kemal Prayuga,5,2026-09-07,terimakasih banyak,terimakasih banyak,0,Netral,MATCH,
479,Iwan Gunardi,1,2026-09-07,"masuk aja gak bisa, padahal pasword benar. lewat no hp email juga benar gak bisa masuk. uninstall aja",masuk aja tidak bisa padahal pasword benar lewat no hp email juga benar tidak bisa masuk uninstall aja,0,Netral,MATCH,
480,nur yanto,5,2026-09-07,tidak bisa dibuka,tidak bisa dibuka,0,Netral,MATCH,
481,SURYADI,3,2026-09-07,menunggu verifikasi kode otpnya lama,menunggu verifikasi kode otpnya lama,-2,Negatif,MATCH,
482,Muhammad Syahid23,4,2026-09-07,mantaps luar biasa,mantaps luar biasa,0,Netral,MATCH,
483,Mohamad Fahri 25,1,2026-09-07,APLIKASI PENGUJI KESABARAN TOLONG INI APLIKASI KENTANG BGT GA LAYAK BGT DIBILANG APLIKASI,aplikasi penguji kesabaran tolong ini aplikasi kentang banget tidak layak banget dibilang aplikasi,0,Netral,MATCH,
484,endang susilawati,3,2026-09-07,"Aplikasi nya kenapa sering logout sendiri si, udh gitu mau log in lg susah nik/password salah terus pdahal nik udh bener di KK dn password juga udh bener sewaktu daftar .",aplikasi nya kenapa sering logout sendiri si sudah gitu mau login in lg sulit nik password salah terus pdahal nik sudah benar di kartu keluarga dn password juga sudah benar sewaktu daftar,-2.5,Negatif,MATCH,
485,016_ Khayla Syifa M.,5,2026-09-07,makan ok,makan ok,1.5,Positif,MATCH,
486,Nora Selvia,4,2026-09-07,"kalo untuk aplikasi sdh bagus,tapi suka logout sendiri,,,meski jaringan bagus,mohon tingkatkan lagi untuk kelayakan dan kenyamanan saat d gunakan",kalo untuk aplikasi sudah bagus tapi suka logout sendiri meski jaringan bagus mohon tingkatkan lagi untuk kelayakan dan kenyamanan saat d gunakan,6,Positif,MATCH,
487,Ahmad Youtube,5,2026-09-07,assoy,assoy,0,Netral,MATCH,
488,Sultan Nasik,1,2026-09-07,ribet mau daftar juga susah kameranya gajelas satu muka satu muka di kira muka ada banyak gajelas,rumit mau daftar juga sulit kameranya gajelas satu muka satu muka di kira muka ada banyak gajelas,-4.5,Negatif,MATCH,
489,Lia Herawati,5,2026-09-07,Alhamdulillah mudah ubah klinik.. terima kasih jkn,alhamdulillah mudah ubah klinik terima kasih jkn,4.5,Positif,MATCH,
490,Ariyanto Buddy,5,2026-09-07,best,best,0,Netral,MATCH,
491,Odhay 79,1,2026-09-07,"1 perangkat masa saya tidak bisa login 3 NIK, 3 nik itu sy dan 2 anak sy, kata call center 165 harus masing² py akun sendiri karena peserta terdaftar di segmen berbeda, giliran sy daftar 1 hp 3 nik ga bs login, perintah nya suruh hubungin 165,gmana sih....",1 perangkat masa saya tidak bisa login 3 nik 3 nik itu saya dan 2 anak saya kata call center 165 harus masing py akun sendiri karena peserta terdaftar di segmen berbeda giliran saya daftar 1 hp 3 nik tidak bs login perintah nya suruh hubungin 165 gmana sih,0,Netral,MATCH,
492,Sardini Afajari,2,2026-09-07,"ni akun nyebelin, mbok ya diperbaiki, keluar sendiri, suruh login terus",ni akun nyebelin mbok ya diperbaiki keluar sendiri suruh login terus,-3,Negatif,MATCH,
493,YUDHA FRATAMA,5,2026-09-07,oke mantap..,oke mantap,4.5,Positif,MATCH,
494,Agsthns Paide (PvchePibo),1,2026-09-07,"tolol, mau daftar aja ribetnya minta ampun",tolol mau daftar aja ribetnya minta ampun,0,Netral,MATCH,
495,Uden Rh,1,2026-09-07,selalu log out.. sekali nya mau login selalu nik salah.. padahal sudah betul,selalu login out sekali nya mau login selalu nik salah padahal sudah betul,0,Netral,MATCH,
496,Alfi Firdaus,5,2026-09-07,membantu tolong klo bisa jangan gagal mulu masuk ny,membantu tolong klo bisa jangan gagal terus masuk ny,4.25,Positif,MATCH,
497,Basuki Nur,5,2026-09-07,sangat membantu,sangat membantu,3,Positif,MATCH,
498,STARFIT Indonesia,5,2026-09-07,good,good,2,Positif,MATCH,
499,Ana Dwi rahayu,5,2026-09-07,mudah di.pahami,mudah di pahami,2.5,Positif,MATCH,
500,Rudi Septianto,1,2026-09-07,versi android nya ketinggian jadi sulit diakses untuk versi android 10 kebawah,versi android nya ketinggian jadi sulit diakses untuk versi android 10 kebawah,-2.5,Negatif,MATCH,
501,Mey Wanti,5,2026-09-07,bagus dan ramah,bagus dan ramah,4,Positif,MATCH,
502,Adi Sutiono,1,2026-09-07,"kalo bisa bintang nol tak kasih nol. dah lah lelet, susah login. orang mau berobat bukannya dipermudah malah dipersulit",kalo bisa bintang nol tak kasih nol dah lah lambat sulit login orang mau berobat bukannya dipermudah malah dipersulit,-8.5,Negatif,MATCH,
503,riska febrianti Riska,4,2026-09-07,alhamdulillah sudah bisa download,alhamdulillah sudah bisa download,0,Netral,MATCH,
504,Ade Suryadi,5,2026-09-07,membantu,membantu,3,Positif,MATCH,
505,IZ*ONE Minchu,1,2026-09-07,kenapa verifikasi lewat SMS ga dikirim kirim kodenya? pdhl nomor sudah benar,kenapa verifikasi lewat sms tidak dikirim kirim kodenya pdhl nomor sudah benar,0,Netral,MATCH,
506,Misbakhul Mu'in,1,2026-09-07,saat proses daftar pada tahap verifikasi wajah. sistem seperti tidak bekerja dimana saya sudah menyesuaikan wajah dalam kotak bingkai sesuai arahan tetapi tidak ada respon dari sistem. tolong diperbaiki atau bisa beri penjelasan kenapa hal ini terjadi. terimakasih update penilaian tergantung nanti,saat proses daftar pada tahap verifikasi wajah sistem seperti tidak bekerja dimana saya sudah menyesuaikan wajah dalam kotak bingkai sesuai arahan tetapi tidak ada respon dari sistem tolong diperbaiki atau bisa beri penjelasan kenapa hal ini terjadi terimakasih update penilaian tergantung nanti,0,Netral,MATCH,
507,Ainun Nazwa,1,2026-09-07,"udah muak bangt sama aplikasi ini pas daftar susah email nya gk akses2 no hp sama udah ganti no tetep gk bisa, kemarin masih baik2 saja pas mau ambil no pas buka aplikasi udah logout sendiri pas masuk lagi gk bisa nik salah mulu pasword capcat padahal saya udah teliti bangt buat ngisi nya tetep aja salah, coba lupa akun tetep gk muncul otp nya gimana ini petugaa bpjs, dri pihak rs suruh pake aplikasi ini tpi ko aplikasi sering eror kaya gini, TOLONG PERBAIKI SECEPATNYA KARNA YANG PAKE BANYAK",udah muak bangt sama aplikasi ini pas daftar sulit email nya tidak akses2 no hp sama udah ganti no tetep tidak bisa kemarin masih baik2 saja pas mau ambil no pas buka aplikasi udah logout sendiri pas masuk lagi tidak bisa nik salah terus pasword capcat padahal saya udah teliti bangt buat ngisi nya tetep aja salah coba lupa akun tetep tidak muncul otp nya gimana ini petugaa bpjs dari pihak rs suruh pake aplikasi ini tpi ko aplikasi sering error kaya gini tolong perbaiki secepatnya karena yang pake banyak,-8.5,Negatif,MATCH,
508,FATHURRAHMAN DZAKWAN HAZ,3,2026-09-07,bagus tapi sistem antrian nya sepertinya kurang maksimal masa nomor besar lebih di dahuli dari pada nomor kecil dan nyampe duluan di ruang tunggu tapi lupa konfirmasi ke ADM atau sejenisnya jadi gak di duluin nomor kecil kalo semiasal harus di konfirmasi sama aja gak pake apk kayak daftar tulis nama kayak dulu terus antrin di apk update nya gak sesuai di lapangan,bagus tapi sistem antrean nya sepertinya kurang maksimal masa nomor besar lebih di dahuli dari pada nomor kecil dan nyampe duluan di ruang tunggu tapi lupa konfirmasi ke adm atau sejenisnya jadi tidak di duluin nomor kecil kalo semiasal harus di konfirmasi sama aja tidak pake aplikasi kayak daftar tulis nama kayak dulu terus antrin di aplikasi update nya tidak sesuai di lapangan,2,Positif,MATCH,
509,ENCEP SUHENDAR,5,2026-09-07,sangat membantu dengan aplikasi jkn. gampang dan mudah.,sangat membantu dengan aplikasi jkn gampang dan mudah,5.5,Positif,MATCH,
510,Tsaaa,1,2026-09-07,aplikasi sampah kebanyakn bug,aplikasi sampah kebanyakn bug,-6,Negatif,MATCH,
511,Kadi,5,2026-09-07,untuk sementara ini masih bagus meskipun suka logout sendiri dan ribet harus login lagi,untuk sementara ini masih bagus meskipun suka logout sendiri dan rumit harus login lagi,2,Positif,MATCH,
512,Asep Rohman,5,2026-09-07,sangat membantu,sangat membantu,3,Positif,MATCH,
513,Marjono Jono,1,2026-09-07,"tidak bisa login, stuck di verivikasi akun, dan tidak bisa mendeteksi muka, nomor yang tertera untuk dihubungi tidak bisa di kontak sama sekali",tidak bisa login stuck di verivikasi akun dan tidak bisa mendeteksi muka nomor yang tertera untuk dihubungi tidak bisa di kontak sama sekali,-2,Negatif,MATCH,
514,Bang Muns,5,2026-09-07,transaksi lancar,transaksi lancar,2.5,Positif,MATCH,
515,Muriyamah,5,2026-09-07,bagus,bagus,2,Positif,MATCH,
516,Tukang Hotspott,5,2026-09-07,tidak bisa memasukan kode verifikasi untuk pendaftar! nomor udah aktif dicoba sms sama nomor lain masuk tapi kalau dibuat verifikasi tidak masuk pesan! .. Dev perbaiki lah itu kenapa soal kode verifikasi ke nomor tapi tidak masuk,tidak bisa memasukan kode verifikasi untuk pendaftar nomor udah aktif dicoba sms sama nomor lain masuk tapi kalau dibuat verifikasi tidak masuk pesan dev perbaiki lah itu kenapa soal kode verifikasi ke nomor tapi tidak masuk,0,Netral,MATCH,
517,yesoa robby,5,2026-09-07,bagus n bermanfaat,bagus n bermanfaat,5,Positif,MATCH,
518,Alfin Alfran,1,2026-09-07,aplikasi sangat buruk,aplikasi sangat buruk,-3,Negatif,MATCH,
519,Wahyudi ajja,5,2026-09-07,aplikasi bagus,aplikasi bagus,2,Positif,MATCH,
520,Nasiah 1909,1,2026-09-07,sbnrnya bagus cuma kalo mau rubah sandi agar ribet email gbsa no HP juga gbsa ini gmna si,sbnrnya bagus cuma kalo mau rubah sandi agar rumit email gbsa no hp juga gbsa ini gmna si,0,Netral,MATCH,
521,ahmad mutholiin,1,2026-09-07,"hadewwwww ini bener"" lemot aplikasinya bikin pusing,, tiba tiba keluar sendiri masuk lagi gak bisa padahal password nya benar",hadew ini benar lambat aplikasinya bikin pusing tiba tiba keluar sendiri masuk lagi tidak bisa padahal password nya benar,-7.5,Negatif,MATCH,
522,Koesjadi Saputra,5,2026-09-07,mudah digunakan dan simple,mudah digunakan dan simple,2.5,Positif,MATCH,
523,Langit Saga AM,1,2026-09-07,jelek amat aplikasinya setelah buka buat cek jkn malah ga bisa buat msuk..satu keluarga belum tentu punya hp semua..1 hp buat cek ga bisa,buruk amat aplikasinya setelah buka buat cek jkn malah tidak bisa buat msuk satu keluarga belum tentu punya hp semua 1 hp buat cek tidak bisa,-3,Negatif,MATCH,
524,nelson leo,5,2026-09-07,sangat membantu,sangat membantu,3,Positif,MATCH,
525,Riki Riyandi,5,2026-09-07,bagus bisa di andalkan,bagus bisa di andalkan,2,Positif,MATCH,
526,Jola Peni,1,2026-09-07,susah amat verifikasinya pake nomor yang dimasukin udh bener malah pas di apk yg muncul nomor yang berbeda...beberapa kali lo kenanya...capekkk bet dah nih apk☠️,sulit amat verifikasinya pake nomor yang dimasukin sudah benar malah pas di aplikasi yang muncul nomor yang berbeda beberapa kali lo kenanya capek bet dah nih aplikasi,-2.5,Negatif,MATCH,
527,Salsa billa11,4,2026-09-07,"mau daftar udah dari berapa hari yang lalu gabisa bisa, kode otp nya ga ke kirim"", udah ganti nomor lain juga sama aja, ribet",mau daftar udah dari berapa hari yang lalu tidak bisa bisa kode otp nya tidak ke kirim udah ganti nomor lain juga sama aja rumit,-2,Negatif,MISMATCH_HIGH_RATING,"Rating bintang tinggi (4-5), namun isi ulasan memuat kritik/keluhan tajam"
528,Miftah Ul,4,2026-09-07,"error gagal ambil nomor antrian jam 10 siang, pas dicek jam 3 sore baru muncul, tolong segera diperbaiki",error gagal ambil nomor antrean jam 10 siang pas dicek jam 3 sore baru muncul tolong segera diperbaiki,-5,Negatif,MISMATCH_HIGH_RATING,"Rating bintang tinggi (4-5), namun isi ulasan memuat kritik/keluhan tajam"
529,Muhammad Yuseno,5,2026-09-07,ok,ok,1.5,Positif,MATCH,
530,dien pramesti hapsari,4,2026-09-07,"sudah bagus tp hr ini tgl 7 sept 26 buka aplikasi utk liat update antrian beberapa kali error, kmudian blm ada pemeriksaan dokter tp terupdate sdh slesai pemeriksaan dokter. Perlu ditingkatkan & sosialisasi ke faskes2 perubahan status hy apabila telah benar2 selesai.",sudah bagus tapi hr ini tgl 7 sept 26 buka aplikasi untuk liat update antrean beberapa kali error kmudian belum ada pemeriksaan dokter tapi terupdate sudah slesai pemeriksaan dokter perlu ditingkatkan sosialisasi ke faskes2 perubahan status hy apabila telah benar2 selesai,-0.5,Netral,MATCH,
531,Ridho Pirmansah,5,2026-09-07,so far so good,so far so good,2,Positif,MATCH,
532,Mutiara Hati,3,2026-09-07,"Ya Allah susah banget mau daftar, kode OTP dicoba berkali² gak dikirim²",ya allah sulit banget mau daftar kode otp dicoba berkali tidak dikirim,-2.5,Negatif,MATCH,
533,inidoc larissa,5,2026-09-07,"memudahkan, thanku🫰",memudahkan thanku,3,Positif,MATCH,
534,Anas Murtadho,5,2026-09-07,aplikasi kesehatan sangat membantu.,aplikasi kesehatan sangat membantu,3,Positif,MATCH,
535,Dharmawan,5,2026-09-07,Aplikasinya Mantap,aplikasinya mantap,3,Positif,MATCH,
536,Eka Shanty Apriliani,5,2026-09-07,kemaren sempet komen kritik skrg pengen sampein makasih dan semoga aplikasi ini terus memudahkan akses saya,kemaren sempet komen kritik sekarang pengen sampein makasih dan semoga aplikasi ini terus memudahkan akses saya,5,Positif,MATCH,
537,Rizqi Mubarok,5,2026-09-07,tiba2 ke logout sendiri login pake sandi/sidik jari tetap gabisa login padahal nik juga udah bener gatau apa masalahnya,tiba2 ke logout sendiri login pake sandi sidik jari tetap tidak bisa login padahal nik juga udah benar gatau apa masalahnya,0,Netral,MATCH,
538,Mhd Apriansyah,1,2026-09-07,"apk tolol,mau daftar aja susah banget verifikasi ,klo gak niat bikin apk mending gak usah",aplikasi tolol mau daftar aja sulit banget verifikasi klo tidak niat bikin aplikasi mending tidak usah,-2.5,Negatif,MATCH,
539,Asri Maharani,1,2026-09-07,"Mau registrasi aja gagal mulu, Payah.",mau registrasi aja gagal terus payah,-5.5,Negatif,MATCH,
540,Mulyadi Yadi,5,2026-09-07,jos,jos,0,Netral,MATCH,
541,Muhammad Hajib,1,2026-09-07,ruwettt,sulit,-2.5,Negatif,MATCH,
542,Yun Yun,3,2026-09-07,"tolong untuk batas login diberi tambahan, karena tidak semua warga desa bisa login sehingga 1 hp digunakan untuk membantu login lebih dari 1 NIK",tolong untuk batas login diberi tambahan karena tidak semua warga desa bisa login sehingga 1 hp digunakan untuk membantu login lebih dari 1 nik,3,Positif,MATCH,
543,Sity Masitoch,1,2026-09-07,"Masa iyaa, aplikasi level kek gini aja udah gak support instalasi, apalagi ini keluaran dari BUMN loh yaa!!! Device saya Redmi 5, seharusnya masih mumpuni untuk aplikasi kecil begini. Dievaluasi yaa kompatibilitas buat HP keluaran lama!! Ini kan tujuannya kesehatan sosial agar dapat diakses semua warga.",masa iyaa aplikasi level kek gini aja udah tidak support instalasi apalagi ini keluaran dari bumn loh yaa device saya redmi 5 seharusnya masih mumpuni untuk aplikasi kecil begini dievaluasi yaa kompatibilitas buat hp keluaran lama ini kan tujuannya kesehatan sosial agar dapat diakses semua warga,-2,Negatif,MATCH,
544,Drh Mailizar,5,2026-09-07,sangat baik,sangat baik,2,Positif,MATCH,
545,Nita Com,1,2026-09-07,Aplikasi yg sangat baik saya beri binatang 1,aplikasi yang sangat baik saya beri binatang 1,2,Positif,MISMATCH_LOW_RATING,Salah klik rating / Human error (Isi ulasan berupa pujian murni)
546,Ayakk Ls,1,2026-09-07,"mau registrasi di persulit. pake nomor A pulsa ngga cukup, padahal barusan di isi pulsa. pake nomor B katanya permintaan belum dapat di proses. tll bgt aplikasinya. mana verifikasi wajah susah banget, kamera nya Masha Allah ngga bisa tegak normal kaya aplikasi lain",mau registrasi di persulit pake nomor a pulsa tidak cukup padahal barusan di isi pulsa pake nomor b katanya permintaan belum dapat di proses tll banget aplikasinya mana verifikasi wajah sulit banget kamera nya masha allah tidak bisa tegak normal kaya aplikasi lain,-2.5,Negatif,MATCH,
547,Daffa Aqilla,1,2026-09-07,"aplikasi lucu kirim otp cuma bisa lewat via SMS,minimal bisa lewat wa juga lah,otp nya eror ga pernah dapet SMS,pas mau ganti nomor biar dapet otp baru malah nunggu 300detik apa2n ngerjain orang",aplikasi lucu kirim otp cuma bisa lewat via sms minimal bisa lewat wa juga lah otp nya error tidak pernah dapet sms pas mau ganti nomor biar dapet otp baru malah nunggu 300detik apa2n ngerjain orang,-2.5,Negatif,MATCH,
548,Iwan Cute,5,2026-09-07,baik,baik,2,Positif,MATCH,
549,syaf junaidi,5,2026-09-07,mantap,mantap,3,Positif,MATCH,
550,riski maolana,5,2026-09-07,👍,,0,Netral,MATCH,
551,mf r,1,2026-09-07,"mau daftar aja sulitnya setengah mati, pada waktu verif no telp, signal bagus katanya gada koneksi. aplikasi remek...",mau daftar aja sulitnya setengah mati pada waktu verif no telp signal bagus katanya tidak ada koneksi aplikasi remek,2,Positif,MISMATCH_LOW_RATING,Salah klik rating / Human error (Isi ulasan berupa pujian murni)
552,Suroto Wildan,5,2026-09-07,sangat membantu sekali,sangat membantu sekali,3,Positif,MATCH,
553,Pengguna Google,5,2026-09-07,Mantapp,mantapp,0,Netral,MATCH,
