No,User Name,Rating Bintang,Tanggal,Isi Ulasan Asli,Master Ground Truth,Prediksi ML (Naive Bayes),Confidence Score (%),Prob Positif (%),Prob Negatif (%),Status Anomali
971,chintya devi,1,2026-09-05,"Aplikasi bodoh. Mungkin hampir tidak berguna. Berkali-kali selalu eror. Mau daftar saja tidak bisa. Scan wajah ulang-ulang terus. Captcha juga sangat mempersulit, tidak jelas. Tolong diperbaiki agar memudahkan.",Negatif,Negatif,98.6,1.3,98.6,Sesuai
972,Rizki azlina Putri,5,2026-09-05,bagus,Positif,Positif,98.2,98.2,1.7,Sesuai
973,Nabella Puspitasari,5,2026-09-05,Sanggat membatu,Positif,Positif,94.4,94.4,5.1,Sesuai
974,usuy myf,4,2026-09-05,"mohon di perbaiki lgi dan di permudah buat cara verifikasi nya , jgn sering² logout soalnya gak selama nya org hafal kata sandi terimakasih",Positif,Positif,61.6,61.6,36.9,Sesuai
975,JF ARKANA,1,2026-09-05,lemot sekali app ini... sekarang,Negatif,Negatif,69.5,29.6,69.5,Sesuai
976,Saya Ultraman,5,2026-09-05,"dipermudah woi login nya masa ngulang otp doang 300s, lu kira semua orang punya waktu luang kek lu",Positif,Negatif,80.3,18.8,80.3,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
977,zhurty teja,5,2026-09-05,Mantap,Positif,Positif,99.2,99.2,0.7,Sesuai
978,Muhammad Roni,5,2026-09-05,mantap,Positif,Positif,99.2,99.2,0.7,Sesuai
979,Andy Malerang,5,2026-09-05,sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
980,Diki Darma wijaya,4,2026-09-05,baguss pindah faskes tidak sulit,Positif,Positif,88.2,88.2,11.1,Sesuai
981,Basman Bas,1,2026-09-05,"aplikasi tolol sering eror,sudah antrian no 2 sampai RS malah dapet antrian no 10,tolol gak tu.dan juga sering log out sendiri,tolong di benahi",Negatif,Negatif,98.8,1,98.8,Sesuai
982,Adhytio sasmita chan,5,2026-09-05,mantap 👍👍👍,Positif,Positif,99.2,99.2,0.7,Sesuai
983,Dian Sopyan,5,2026-09-05,mantap,Positif,Positif,99.2,99.2,0.7,Sesuai
984,vvhy478,5,2026-09-04,cara mudah & cepat mengakses layanan kesehatan tanpa perlu antri.,Positif,Positif,97.2,97.2,2.7,Sesuai
985,Enni Rasel,5,2026-09-04,ok,Positif,Positif,51.5,51.5,45.6,Sesuai
986,Dharma Dwitunggal,5,2026-09-04,Terima kasih atas layanan kesehatan yang memudahkan untuk rakyat,Positif,Positif,98.4,98.4,1.5,Sesuai
987,Agus Sudi Kusuma,5,2026-09-04,mantap,Positif,Positif,99.2,99.2,0.7,Sesuai
988,SOPAN SOPYAN,5,2026-09-04,aplikasi membantu,Positif,Positif,97.6,97.6,2.3,Sesuai
989,andhika firmansyah,1,2026-09-04,gimana caranya kalo yg handphonenya masih tipe lama jadi gak bisa support apk hari ini saya mau daftarkan istri saya sakit gak bisa login2,Negatif,Negatif,83.9,15,83.9,Sesuai
990,Serli Labadjo,5,2026-09-04,"Sudah bagus, sangat memudahkan",Positif,Positif,99.7,99.7,0.3,Sesuai
991,Aprilia Katiandagho,1,2026-09-04,aplikasi tidak berguna,Negatif,Negatif,91.5,8.3,91.5,Sesuai
992,Yatty Yatty,1,2026-09-04,aplikasi eror,Negatif,Negatif,87.9,11.5,87.9,Sesuai
993,tami Rizki,5,2026-09-04,sesukses,Positif,Positif,84.5,84.5,13.7,Sesuai
994,Prida 75,5,2026-09-04,kok gak bisa di buka,Positif,Negatif,71.7,27.9,71.7,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
995,Yang terdholimi Oleh koruptor,1,2026-09-04,captcha muter muter terus,Negatif,Negatif,81.2,17.6,81.2,Sesuai
996,agista queen,2,2026-09-04,sudah 3hari belum dapat antrian keslahan terus,Negatif,Negatif,65.4,32.6,65.4,Sesuai
997,Ratih Rati,1,2026-09-04,sering ganguan waktu di butuhkan aneh.,Negatif,Negatif,78.6,20.5,78.6,Sesuai
998,Arga Febriyanto,2,2026-09-04,hemmm kurang memuaskan,Negatif,Positif,62.5,62.5,34.4,💡 Bintang 1-2 tapi Prediksi ML Positif (Pujian / Salah Klik)
999,TBR Racing,1,2026-09-04,aplikasi ssmpah waktu di butuhkan buat ke rumah sakit malah gak bisa masuk capcha nya loading terus tolong di perbaiki,Negatif,Negatif,83.7,16.1,83.7,Sesuai
1000,Rahmat Kurnianto,5,2026-09-04,ok,Positif,Positif,51.5,51.5,45.6,Sesuai
1001,arief ruwanda Jaya dinata,2,2026-09-04,mau login aja susah amat,Negatif,Negatif,97,2.6,97,Sesuai
1002,Rifki Agus,1,2026-09-04,"apk jembod , SMS gak dikirim kirim kemudian captcha gak bisa keluar keluar loading teross",Negatif,Negatif,96.8,3,96.8,Sesuai
1003,NIKMATUS SHOLIHAH,1,2026-09-04,"aplikasinya tolong diperbaiki selalu kendala daftar dan login suka buah, tolong diperbaiki karena menguji kesabaran banget kode otp tidak masuk, verifikasi wajah lama, capcha tidak muncul buat daftar aja sudah banget sampai 3 jam tidak selesai akhirnya menyerah karena capcha tidak muncul2 tapi butuh buat antrian, tolong dievaluasi lagi dan diperbaiki",Negatif,Negatif,96.4,3.4,96.4,Sesuai
1004,Nyai 0893,1,2026-09-04,"aplikasi buruk... tiap d butuhkan ga bisa d gunakan, mau daftar antrian berobat susah ny minta ampun alhasil ga kebagian trus antrian😭 gimana si ga ada perubahan sma sekali dri dulu",Negatif,Negatif,95.2,4.6,95.2,Sesuai
1005,Yudhistira,1,2026-09-04,"sering banget gangguan tengah malam, klo darurat kudu nunggu aplikasi bner dulu gitu?",Negatif,Negatif,90.7,7.7,90.7,Sesuai
1006,Aptria Vidiarta Putri,1,2026-09-04,"sering trouble, dahal ini aplikasi penting lho, kirain wifi atau kuota saya yg bermasalah ternyata aplikasi ini yg memang lagi sering terkendala. tolong ini bukan aplikasi penghibur seperti game tp ini aplikasi berurusan sama kesehatan!!!!",Negatif,Negatif,80.6,18.3,80.6,Sesuai
1007,oki andhika,1,2026-09-04,"Apadah aplikasi sering ngelag gajelas gini, Aplikasi kesehatan yang jadi prioritas masyarakat masa kalah sih kualitasnya ama aplikasi game bocil bocil yang lebih jarang ngelag. PERBAIKI lagi lah kualitas apknya huuuuu!!!",Negatif,Negatif,78.9,19.3,78.9,Sesuai
1008,Jack forsoc,1,2026-09-04,kecewa berat,Negatif,Negatif,76.4,21,76.4,Sesuai
1009,johanes sirken,5,2026-09-04,sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
1010,Fahlevi Andiska,3,2026-09-04,"Setiap login ulang, captcha nya lama munculnya, sering loss connection juga padahal koneksinya aman-aman aja kok...jujur itu yg bikin kesel, MAU BEROBAT MALAH DIPERSULIT... TOLONG DIPERBAIKI 🙏",Negatif,Negatif,94.7,4.8,94.7,Sesuai
1011,Ikhsan Suheri,3,2026-09-04,"Tolong diperbaiki lagi saya mau daftar online kenapa suka error mulu padahal jaringan bagus gak ada kendala, ini gimana sih suka menyusahkan rakyat saja saya ini orang yang kurang mampu malah di uji kesabaran nih sama aplikasi padahal saya punya saudara yang harus kontrol rutin",Netral,Negatif,92.1,6.9,92.1,Sesuai
1012,Moh Radit,3,2026-09-04,"aplikasinya udah bagus tapi pendaftarannya lama banget ada masalah ini lah itu lah,lemot banget,dan nguji kesabaran",Negatif,Negatif,71.2,26.1,71.2,Sesuai
1013,Dhani Febrianda,5,2026-09-04,good,Positif,Positif,98.5,98.5,1.3,Sesuai
1014,Alma Wanti,1,2026-09-04,amit amit BPJS skrg ternyata 1 akun jkn cuma buat 1 orang jd klo mau liat gambar kartu digital harus bikin per nama gila gasih negara Konoha makin dipersulit gila aja klo anggota keluarga ada 5 org ya bikin 5 akun gilaaaa,Negatif,Negatif,88.9,10.1,88.9,Sesuai
1015,Halwan yusup,1,2026-09-04,"aplikasi asu, verifikasi nomor susah verifikasi email juga susah amat. kalah Ama verifikasi judol",Negatif,Negatif,93.5,5.4,93.5,Sesuai
1016,Yeni Nuraeni,5,2026-09-04,sangat bagus layanan nya,Positif,Positif,99,99,0.9,Sesuai
1017,Retno Purwaningsih,5,2026-09-04,"Alhamdulillah, sangat membantu",Positif,Positif,99.1,99.1,0.8,Sesuai
1018,Zaen Cakep,5,2026-09-04,bagus,Positif,Positif,98.2,98.2,1.7,Sesuai
1019,Muhammad Akil,1,2026-09-04,"saya baru mau cek BPJS dan baru daftar tapi pas masukan nomor HP kode OTP tidak di kirim"" ke SMS sampek saya mintak kirim ulang kode OTP masih gak juga",Negatif,Negatif,93.3,5.7,93.3,Sesuai
1020,Zainal Arifin,5,2026-09-04,mantap,Positif,Positif,99.2,99.2,0.7,Sesuai
1021,margo utomo,5,2026-09-04,pelayan sangat baik,Positif,Positif,97.9,97.9,1.9,Sesuai
1022,Tutialawiyahh TutiAlawiyah,1,2026-09-04,tolol,Negatif,Negatif,88.9,10.5,88.9,Sesuai
1023,Yohannes Iswanto,5,2026-09-04,tanggap dan bagus,Positif,Positif,96.8,96.8,2.8,Sesuai
1024,Techno Memez,5,2026-09-04,sangat bagus,Positif,Positif,99,99,0.9,Sesuai
1025,Way Tif,1,2026-09-04,kode otp nya ga muncul muncul hapus aja apl kaya gini ga guna,Negatif,Negatif,96.7,3.2,96.7,Sesuai
1026,David Purnomo,1,2026-09-04,aplikasi terjelek sbntr di pengaruhi sbntr di perbarui akhirnya logout masuk lage bikin pusing,Negatif,Negatif,85.3,13.2,85.3,Sesuai
1027,Arta Yuliana,5,2026-09-04,mudah dipahami,Positif,Positif,88.5,88.5,10.9,Sesuai
1028,Febby Ola Cicilia,5,2026-09-04,sangat menawan dan bagus dan indah,Positif,Positif,98,98,1.8,Sesuai
1029,Laga Kumara,5,2026-09-04,"aplikasi gajelas saya mau verifikasi di muka gagal gagal mulu padahal sudah saya ulangin berkali kali tetap gabisa, sudah di tempat terang ga pake aksesoris tetep gabisa, ini sengaja tak kasih bintang 5 biar di baca!!",Negatif,Negatif,97,2.7,97,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
1030,RENDY SAPUTRA,2,2026-09-04,"Aplikasi nya semakin update, semakin buruk tiba2 keluar sendiri dan CHAPTA ngga jelas tulisannya chapta gampang dibikin susah",Negatif,Negatif,97.6,2.2,97.6,Sesuai
1031,Barokah Farm,1,2026-09-04,"aplikasi cacat, logout sendiri mau login sudah 3 hari gak bisa masuk , otp gak dikirim2 , sudah tau kalau rujukan rumah sakit harus online. bosok. tolong ditanggapi.",Negatif,Negatif,96.7,3,96.7,Sesuai
1032,Teguh Widodo,1,2026-09-04,aplikasinya sangat susah untuk orang tua. untuk menerima SMS harus punya pulsa,Negatif,Negatif,78.6,19.8,78.6,Sesuai
1033,Randipurba1990,5,2026-09-04,baiksekaliboskuh,Positif,Positif,51.5,51.5,45.6,Sesuai
1034,Dewisri widowati,1,2026-09-04,"apa apa di persulit heran, mau verifikasi aja susah banget setan",Negatif,Negatif,95.9,3.7,95.9,Sesuai
1035,Arif Hidayat,5,2026-09-04,"Saya ucapkan Terimakasih banyak, dengan adanya program BPJS ini sangat membantu sekali.",Positif,Positif,99.5,99.5,0.5,Sesuai
1036,Putra F Hia,5,2026-09-04,bagus,Positif,Positif,98.2,98.2,1.7,Sesuai
1037,Asih 10,3,2026-09-04,apknya susah banget pas baru daftar katanya buat mempermudah tapi malah di persulit,Netral,Negatif,79.3,18.1,79.3,Sesuai
1038,DIDIK KN,5,2026-09-04,memudahkan transaksi,Positif,Positif,88.7,88.7,10.6,Sesuai
1039,Dwi Zahra Valerina,3,2026-09-04,"salah banget pilih metode verifikasinya pakai SMS, harus pakai pulsa",Netral,Negatif,79.8,17.5,79.8,Sesuai
1040,Trio Yadiwinata,5,2026-09-04,josssss,Positif,Positif,93.8,93.8,5.8,Sesuai
1041,Ma Nik,5,2026-09-04,TOP dan memudahkan,Positif,Positif,98.5,98.5,1.4,Sesuai
1042,Mochammed Zakaria Yahya,1,2026-09-04,kenapa ya pas mau daftar dipersulit sama captcha nya yang gak mau keluar meskipun pakai jaringan apapun?,Negatif,Negatif,94.8,5,94.8,Sesuai
1043,Nisa Arta,5,2026-09-04,memuaskan sangat sangat,Positif,Positif,94.2,94.2,5.1,Sesuai
1044,Josua Turnip,1,2026-09-04,"pendaftarannya susah, harus verifikasi setiap kolom, dah gitu verifikasi susah kali",Negatif,Negatif,93.6,5.9,93.6,Sesuai
1045,Azka Saputra,5,2026-09-04,bagus dan membantu juga,Positif,Positif,99.6,99.6,0.4,Sesuai
1046,Sela Arianja,5,2026-09-04,Mantap,Positif,Positif,99.2,99.2,0.7,Sesuai
1047,Sudahnan Bintang,5,2026-09-04,bagus,Positif,Positif,98.2,98.2,1.7,Sesuai
1048,Sriaja Nyoman,5,2026-09-04,mantap,Positif,Positif,99.2,99.2,0.7,Sesuai
1049,Monica Novena Sinaga,5,2026-09-04,sudah lebih baik,Positif,Positif,78.4,78.4,20.1,Sesuai
1050,Yulida,1,2026-09-04,tolol,Negatif,Negatif,88.9,10.5,88.9,Sesuai
1051,JB5 BANYUWANGI,5,2026-09-04,bagus membantu sekali,Positif,Positif,99.3,99.3,0.6,Sesuai
1052,Tatang Sutisna,5,2026-09-04,respon cepat dan mudah,Positif,Positif,99.1,99.1,0.9,Sesuai
1053,Khanza Askyana,5,2026-09-04,sangat puas sekali memudahkan pelanggan,Positif,Positif,98,98,1.7,Sesuai
1054,Ebenezer Maharadja Official,5,2026-09-04,lebih nyaman juga pake aplikasi mobile jkn,Positif,Positif,72.4,72.4,26.3,Sesuai
1055,Dani Irpan,1,2026-09-04,otp gak dapet dapet,Negatif,Negatif,87.4,11.6,87.4,Sesuai
1056,Wahyu Hendry,1,2026-09-04,"kalau harus update dan perangkat tidak kompatibel, hal ini sangat merugikan peserta JKN karna tidak semua orang mampu membeli/memiliki perangkat yg kompatibel",Negatif,Negatif,77.6,18.5,77.6,Sesuai
1057,Josua Manggaratua,5,2026-09-04,ok,Positif,Positif,51.5,51.5,45.6,Sesuai
1058,Chorinda Triwidyastara,1,2026-09-04,APLIKASI BOBROKK DEVELOPER TOLOL KALO BELUM SIAP BIKIN APL GAUSA BIKIN TOLOL. GINI AMAT APL DARI PEMERINTAH,Negatif,Negatif,92.7,6.8,92.7,Sesuai
1059,Wa Ode Harnisa,5,2026-09-04,saya sangat suka pelayanan disini,Positif,Positif,84.4,84.4,14.7,Sesuai
1060,Din Din,1,2026-09-04,"kacaw kacaw, tiga hari nunggu otp berkali kali kirim ulang dengan nomor yang berbeda beda, sama sekali gak muncul sms/wa/telpon, dikit dikit eror padahal jaringan lancar banget, emang semua aplikasi plat merah kaya gini?, dana kan banyak coba di evaluasi buat tim developer yang berkompeten,",Positif,Negatif,82.8,15.1,82.8,Sesuai
1061,Roni Kurniawan,1,2026-09-04,woy betulin tuh apk jangan logout Mulu bangsat !!!,Negatif,Negatif,75.8,21,75.8,Sesuai
1062,Mami Idaman,2,2026-09-04,kena ga bisa di downlod Ama Vivo y19,Negatif,Negatif,73,25.6,73,Sesuai
1063,Agung Danwood,5,2026-09-04,oke siap aplikasi nya,Positif,Positif,87.1,87.1,12.5,Sesuai
1064,ksatria kampoeng,5,2026-09-04,simple dan praktis,Positif,Positif,95.5,95.5,4.1,Sesuai
1065,Tama Arga,1,2026-09-04,verifikasi otp baik nomer hp ataupun email susahnya minta ampun,Negatif,Negatif,96.2,3.5,96.2,Sesuai
1066,julyan,1,2026-09-04,verifikasi nomor handphone gak bisa teros!,Negatif,Negatif,85,13.9,85,Sesuai
1067,faisal rifani,1,2026-09-04,"kalau bisa verifikasi no hp hilangkan aja,saya gak ada no hp,mau beli kartu lagi tapi disini gak ada sinyal,saya pakai wifi,jadi mau daftar di app ini gak bisa jadi app ini gak bisa dipakai alias gak berguna",Negatif,Negatif,92.3,7.3,92.3,Sesuai
1068,Bagus Saputro,1,2026-09-04,daftar jkn ggal trs pulsanya ada nomer sudah bner semua data aakurat tp tetap ditolak,Negatif,Negatif,83.6,14.7,83.6,Sesuai
1069,Salfiati,1,2026-09-04,"mau daftar verivikasi no hp susah bgt,sudah dicoba beberapa kali ngga jadi"" padahal mau buat daftar online buat kontrol",Negatif,Negatif,95.2,4.2,95.2,Sesuai
1070,Rahmat Efendi,4,2026-09-04,👍,Positif,Positif,51.5,51.5,45.6,Sesuai
1071,wiki marta kusuma,5,2026-09-04,mantap,Positif,Positif,99.2,99.2,0.7,Sesuai
1072,Abay Thea,1,2026-09-04,aplikasi p A,Negatif,Positif,51.5,51.5,45.6,💡 Bintang 1-2 tapi Prediksi ML Positif (Pujian / Salah Klik)
1073,Ayah Yahya LUBIS,5,2026-09-04,Bagus sangat membantu,Positif,Positif,99.8,99.8,0.2,Sesuai
1074,suranto sastrosudarmo,5,2026-09-04,"aplikasi sangat membantu, dan memudahkan peserta BPJS",Positif,Positif,99.7,99.7,0.3,Sesuai
1075,Uunge Kewode,5,2026-09-04,Sangat membantu sekali,Positif,Positif,99.8,99.8,0.2,Sesuai
1076,Hiburan & Petualangan,5,2026-09-04,ternyata mobile jkn menggunakan os wajibnya versi 10. mohon dibantu untuk masyarakat pengguna mobile jkn yang masih menggunakan os wajib dibawah versi 10. agar dapat berobat dan mendaftar via mobile jkn. terima kasih admin. 🙏 Recommended 👍,Positif,Positif,88.3,88.3,11.4,Sesuai
1077,dicky ono,1,2026-09-04,kalau bisa sulit kenapa harus dipermudah,Negatif,Negatif,70.5,28.1,70.5,Sesuai
1078,Aditya P P,3,2026-09-04,"gangerti lagi deh pas butuh mesti suka logout, terus chaptanya error, pas pilih faskes lalu poli dan milih tanggal malah datanya gabener, bilang pilih jam kerja lain padahal pilihannya udah muncul, aneh deh servernya benerin dong, aplikasi bagus terkendala mulu dah",Positif,Negatif,74.7,24.7,74.7,Sesuai
1079,Chandra Budiyanto,1,2026-09-04,"sangat buruk, login gagal terus nik salah",Negatif,Negatif,95.4,4.2,95.4,Sesuai
1080,Fauzan Muhamad,5,2026-09-04,apk mudah digunakan dan sangat membantu,Positif,Positif,99.8,99.8,0.2,Sesuai
1081,Aditya Armando,1,2026-09-04,"apk tolol orang mau berobat pun harus online online! apa guna suster"" sama perawat di tempat? udah apk lelet maksa suruh orang online gblk. mikir orang sakit di suruh daftar online",Negatif,Negatif,97.4,2.5,97.4,Sesuai
1082,Wahyu Hidayat,1,2026-09-04,"tolong apknya di perbaiki bugnya dan di tingkatin lagi dah, masa mau verifikasipun di persulit. mau verifikasi pakai sms keteranganya nomor kosong padahal saat saya daftar apknya pakai nomor yang sama tidak ada masalah sama sekali, lalu mau pakai verifikasi mukapun selalu gagal loh mana yang mau di vermuk itu kakek saya yang sudah lansia.",Negatif,Negatif,96.5,2.9,96.5,Sesuai
1083,Reva Permana,5,2026-09-04,sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
1084,Yoghi Rahaditya,2,2026-09-04,captcha antara angka 1 dan 7 mirip jadi gak jelas,Negatif,Negatif,85.7,13.5,85.7,Sesuai
1085,Zahra Adinda,2,2026-09-04,di upgrade bukannya tambah bagus. malah tambah parahhh,Negatif,Negatif,74.9,23.9,74.9,Sesuai
1086,Rio Septian,1,2026-09-04,"Server dibenerin dong, masa dibilang offline padahal lagi online pas mau dftr antrean",Negatif,Negatif,89.7,9.4,89.7,Sesuai
1087,Manda Yulya,2,2026-09-04,lagi buru buru mau mindahin faskes BPJS malah susah banget buat dapet otp ke sms,Negatif,Negatif,90.8,8.2,90.8,Sesuai
1088,Nia Aj,4,2026-09-04,sangat sangat membantu,Positif,Positif,99,99,0.9,Sesuai
1089,Azkiya Khanza Mikayla,5,2026-09-04,membantu sekali,Positif,Positif,99,99,1,Sesuai
1090,Sri Wijayanti,5,2026-09-04,bagus,Positif,Positif,98.2,98.2,1.7,Sesuai
1091,allan aldy,5,2026-09-04,sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
1092,Hodaizin WH,1,2026-09-04,kenapa hp saya tidak bisa mendowlod aplikasi ini,Negatif,Negatif,83.5,16.3,83.5,Sesuai
1093,Agus Hermawan,5,2026-09-04,sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
1094,Ika Susanto,5,2026-09-04,okeee,Positif,Positif,97.4,97.4,2.4,Sesuai
1095,Muhammad Iqbal,1,2026-09-04,aplikasi eror,Negatif,Negatif,87.9,11.5,87.9,Sesuai
1096,diah ira,5,2026-09-04,Fast Respon 👍🏻,Positif,Positif,89.6,89.6,9.3,Sesuai
1097,Teddy Mizward,5,2026-09-04,ini sengaja bngt EMG kalian ya apa2 yg menyangkut masyarakat selalu di bikin susah.saya yg tidak gaptek aja kesusahan mau logging.kbnyakan dramanya.gmn org2 tua yg kurang mengerti.fikir dong jgn bisa nya mempersulit aja kalian ini.mkin kesini bukanya mkin bagus mlh mkin busuk!!,Positif,Negatif,77,21.6,77,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
1098,Riefit Herifitri,3,2026-09-03,susah banget mau daftar ferivikasinya,Netral,Negatif,92.6,6.5,92.6,Sesuai
1099,Arik Sajah,5,2026-09-03,Sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
1100,Kathrin Yessie,1,2026-09-03,"versinya telah diperpaharui, tapi membuat saya pusing, krn tidak busa mendownload versi yg terbaru ini. katanya ""Perangkat anda tidak kompatibel dengan versi ini"". padahal dulu tidak begini 😣 masak harus beli Hp baru yg RAM yg lebih bagus lagi, hanya utk bisa mendownload jkn, parah sih ini.",Negatif,Negatif,88.7,8.7,88.7,Sesuai
1101,PASCKAL VICKY TAMBINGON,1,2026-09-03,Info Riwayat Pelayanan Tidak Bisa di Aksess,Negatif,Negatif,48.9,48.9,48.9,Sesuai
1102,fikram daialang,5,2026-09-03,bermanfaat bagi semua warga indonesi.,Positif,Positif,90.8,90.8,8.2,Sesuai
1103,Kevin krisan,2,2026-09-03,tolong di perbaiki juga apk nya sering error pas mau pendaftaran dan juga kalau dokter nya cuti di apk pas di Samper ada dong itu juga di perbaiki,Negatif,Negatif,79.8,19.6,79.8,Sesuai
1104,Errief Wibowo,5,2026-09-03,"SYSTEM MINTA DI UPDATE, TAPI KETIKA DILAKUKAN UPDATE DI HP SELALU GAGAL",Positif,Negatif,54.3,44.2,54.3,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
1105,Mamat Sujana,5,2026-09-03,memunculkan di layar hp?,Positif,Positif,58,58,40.2,Sesuai
1106,Didik 022021,5,2026-09-03,oke,Positif,Positif,97.4,97.4,2.4,Sesuai
1107,abangk Boncell,1,2026-09-03,aplikasi tolol disuruh buat akun giliran verifikasi nomer hp ga dapet smsnya tolol tolol,Negatif,Negatif,97.7,2,97.7,Sesuai
1108,Hengky Kemal,4,2026-09-03,Sangat membantu masyarakat,Positif,Positif,97.7,97.7,2.2,Sesuai
1109,dede usman,5,2026-09-03,sangat membantu dan bisa cek di aplikasi detail rekam medis,Positif,Positif,91.1,91.1,8.2,Sesuai
1110,Pridan Nur_,1,2026-09-03,sumpah ini apk ga jelas banget verifikasi no Hp aja susah banget,Negatif,Negatif,98.9,1,98.9,Sesuai
1111,Alvino keynan Askara,3,2026-09-03,kurang memuaskan . susah bgt mau daftar online ke faskes 1 gagal terus,Netral,Negatif,87,12.5,87,Sesuai
1112,abdul nurdin,5,2026-09-03,mantap...,Positif,Positif,99.2,99.2,0.7,Sesuai
1113,Nesya asyfa,4,2026-09-03,"aslinya bagus mempermudah juga tapi klo mau daftar antrian itu kadang agak susah kadang bisa kadang engga aku mau daftar aja tiba"" gabisa karna nomor kesehatan nya gaada pdhl jelas"" udah terdaftar dan udah tertera tapi pas di klik malah ga muncul hari ini lagi di butuhin banget malah ga bisa ini gimana sih, TOLONG DI PERBAIKI",Positif,Negatif,88.7,11.1,88.7,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
1114,Lian Suroi,4,2026-09-03,"mudah untuk digunakan, update datanya lebih cepat tidak menunggu sampai besok hari data bisa dirubah",Positif,Positif,90.5,90.5,9.1,Sesuai
1115,Selfi Rinzani,3,2026-09-03,"aplikasi nyh bagus membantu memudhkan kita untuk mengambil antrian atau pun mengetahui terkait jadwal² kita kontrol, namun perlu di perhatikan aplikasi ini sangatt sangatt menguras kesabaran kami!! akun kami sering logout sendiri harus login kembali padahal sudah beberapa kali di loginkan hingga banyak kendala akun kami tidak bisa masuk di karenakan nomber telpon tidak sama dengan no bpjs lah, sandi salah lah dan lain sebagainyh pdahal baru saja minggu kemarin kami betulkan akun nyh!!!!!!!!!!!!!",Netral,Negatif,88.9,10.1,88.9,Sesuai
1116,Novita Ajja,1,2026-09-03,tidak bisa di download,Negatif,Negatif,86.6,13.2,86.6,Sesuai
1117,saturnus,1,2026-09-03,ini login gabisa kenapa emangnya ya? kesalahan mulu padahal sinyal lancar udah daftar juga..,Positif,Negatif,75.1,24.2,75.1,Sesuai
1118,Awalin Ayudya,4,2026-09-03,cukup memudahkan,Positif,Positif,91.4,91.4,8.1,Sesuai
1119,Yoko Chaerudin,1,2026-09-03,apk busuk. verifikasi aja susah banget ga bisa2. malah jadi menyusahkan masyarakat,Negatif,Negatif,97.3,2.4,97.3,Sesuai
1120,Hamdi Chemistry,1,2026-09-03,"MW daftar aja repot , bolak balik gagal Mulu",Negatif,Negatif,92.6,6.5,92.6,Sesuai
1121,Lailatur Rohmah,1,2026-09-03,katanya kalau mau pengaduan bisa wa di pandawa sudah wa dan di kasih link pas mau isi di segmen peserta nya ternyata tidak bisa diisi keterangan nya (tidak ada pilihan) pas tak isi tulisan manual juga tidak bisa bagaimana ini admin kok ribet sekali tolong dong 🙏 saya sudah berkali kali tapi hasilnya selalu muter2 katanya suruh di link a trus pindah di link b ujung2nya tidak ada titik terang nya saya ingin masuk tapi nomor saya sudah di pakai orang lain tp siapa saya tidak tau bgmn sy mau msk,Negatif,Negatif,94.8,4.5,94.8,Sesuai
1122,Jutta Agung,1,2026-09-03,susah masuk,Negatif,Negatif,89.6,9.8,89.6,Sesuai
1123,Abdul Mujib,1,2026-09-03,"selalu logout, menyusahkan.",Negatif,Negatif,84.1,14.7,84.1,Sesuai
1124,chendik_ 87 chanel,1,2026-09-03,"aplikasi apa ini..dulu bagus,, sekarang entah lah..verifikasi SMS suruh mencoba lagi..",Positif,Negatif,75.9,23.3,75.9,Sesuai
1125,Satria Puji,5,2026-09-03,sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
1126,Ayah Fajar,5,2026-09-03,good,Positif,Positif,98.5,98.5,1.3,Sesuai
1127,Riky Putra minang,5,2026-09-03,sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
1128,Kartika Tika,5,2026-09-03,lebih mudah,Positif,Positif,96.4,96.4,3.4,Sesuai
1129,Muhammad Johan,5,2026-09-03,bagus,Positif,Positif,98.2,98.2,1.7,Sesuai
1130,Titha didi,5,2026-09-03,aplikasi yang memudahkan orng seperti saya,Positif,Positif,84.7,84.7,14.5,Sesuai
1131,Fayat Zabihullah,1,2026-09-03,ini saya nunggu kode OTP butuh berapa jam biar dikirim? apk jelek,Negatif,Negatif,97.4,2.4,97.4,Sesuai
1132,Ahmad fahmi,5,2026-09-03,ok,Positif,Positif,51.5,51.5,45.6,Sesuai
1133,Seknas 2019,5,2026-09-03,josjis,Positif,Positif,83.6,83.6,14.5,Sesuai
1134,Yeremias Yeri,5,2026-09-03,sangat memuaskan,Positif,Positif,96.7,96.7,2.9,Sesuai
1135,Ir.james James Erland,5,2026-09-03,Semoga bertambah baik pelayanan di setiap Rumah Sakit dan Puskemas atau setiap faskes untuk kami pengguna BPJS,Positif,Positif,89.5,89.5,10.2,Sesuai
