No,User Name,Rating / Bintang,Tanggal Review,Isi Ulasan,Jumlah Like,Tanggal Balasan,Balasan Developer,Versi Aplikasi
214,bungsu umakbak,5,2026-09-09,baik,0,,,4.18.0
215,Firman 135,1,2026-09-09,"ini kenapa hasil pembayaran iyuran BPJS tidak tertulis di aplikasi, apa mau di korupsi lagi kah hasil iyuran BPJS nya",0,,,4.18.0
216,Anto Afrianto,5,2026-09-09,Nice App,0,,,4.18.0
217,Nasril 321,5,2026-09-09,sangat membantu,0,,,
218,eric boyz,1,2026-09-09,"mempersulit aja ,,udah tau orang sakit malah dipersulit",0,,,
219,Mager Coding,1,2026-09-09,"orang lupa password bukanya dikasih hint malah diputer2, masak dari aplikasi gada otp malah disuruh chat wa, dari wa malah diarahin ke form gajelas. Cok tolol, dari aplikasi bisa tolol masak nyewa vibe coder buat form dalam aplikasi gabisa setingkat instansi pemerintah? nyewa buzzer bisa nyewa developer gabisa.. najis najis",1,,,
220,Galvinza Ganendra,2,2026-09-09,mau masuk susah,0,,,
221,Asyifa Aji,5,2026-09-09,Sangat mudah diaplikasikan,0,,,4.18.0
222,Rockstar Game,5,2026-09-09,aplikasi bagus,0,,,
223,ikhsan surur,2,2026-09-09,susah untuk scen wajah gagal terus,0,,,4.18.0
224,husni asn,5,2026-09-09,aplikasi bagus sangat membantu. mengubah faskes tidak harus kepuskesmas.,0,,,4.18.0
225,Samueltang,1,2026-09-09,apk tolol bikin rakyat susah mau ngadu yg jawab cuma bot yg kerja di sana pada makan gaji buta cuma tidur ga kerja tolollll cuma bot yg kerja,0,,,4.18.0
226,Adrian,5,2026-09-09,"Semoga tidak ada perubahan lagi untuk ke depan, biar mudah proses program yang berguna untuk masyarakat yang ingin kemudahan",0,,,4.18.0
227,Arif Supriyanto,5,2026-09-09,fotonya di buat susah,0,,,4.18.0
228,Anton lafau,3,2026-09-09,"perlu di tingkatkan, agar kode otp bisa dikirimkan melalui WA",0,,,4.18.0
229,ahmad baehaqi,5,2026-09-09,keren apknya tanpa ribet dan mudah dipahami. god,0,,,4.18.0
230,Faiz Kia,5,2026-09-09,oke,0,,,4.18.0
231,Rufyani Anaitpes,5,2026-09-09,membantu,0,,,4.18.0
232,Arif Cahyo,1,2026-09-09,"aplikasi pemerintah ter busuk, susah LOGIN ! Verivikasi gagal trus ,",0,,,4.18.0
233,Budi INDO,5,2026-09-09,sekarang sudah bagus pelayananya tingkatkan lagi jgn di persulit,0,,,4.18.0
234,chayadie zho,1,2026-09-09,"susah mau login, nga bagus aplikasi nangung",0,,,4.18.0
235,Bang Harry,1,2026-09-09,udah 3 hari mau ngambil nomer antrian ga bisa bisa,0,,,4.18.0
236,Muhammad Rafi,5,2026-09-09,sangat cepat membantu,0,,,4.17.0
237,Dhea Randina,1,2026-09-09,"aplikasi apa si setiap mau masuk ribetnya minta ampun, masuk ulang lah, ditambah pas mau ambil antrean harus masukin verifikasi nomor lagi, dan harus isi pulsa, maksudnya kayak masa setiap mau ambil antrean selalu kayak gini?!MASA SETIAP HARI HARUS LOGIN GITU BIAR GA DISURUH DAFTAR DAN VERIFIKASI NOMOR?!! perbaiki deh aplikasi sumpah kayak ginii, bukan mempermudah tapi memperibet",0,,,4.16.1
238,Giri Alexa97,1,2026-09-09,tidak dapat kode OTP saat mendaftar,0,,,
239,Rima Rahman,5,2026-09-09,puas,0,,,4.18.0
240,Vita Vita,5,2026-09-09,pelayanan bagus,0,,,4.14.0
241,Arzun Zunaidi,1,2026-09-09,aplikasi ga jelas .. ribet.. erorrr teruss!!!,0,,,4.18.0
242,Kurniawannn AT,5,2026-09-09,best apk ever.,0,,,4.18.0
243,maulana rahman,5,2026-09-09,jos,0,,,4.18.0
244,Prmn Ardn,5,2026-09-09,sangat membantu,0,,,
245,Arya,1,2026-09-09,"siapa si yang bikin agak kurang gini aplikasi, tidak ada kendala ditulis kendala. dibenerin napa",0,,,4.18.0
246,Diah Sayuti,1,2026-09-09,Hadeh juli sampai September 2026 ini aplikasinya g bisa login udah berkali-kali nyoba. appsnya g siap apa gmn? maintain harus di tulis dengan batas waktu yg jelas. gini buat apa nyuruh bayar iuran tp pakai apps aja g bisa buat login berkali-kali. ampun ya allah,0,,,
247,Dernia Damanik,5,2026-09-09,"Tolong jangan terlalu banyak di update , versi sebellumya juga sudah bagus, kasian kita yang tidak memiliki kouta apabila ada kejadian urgent",1,,,4.14.0
248,Githa wsng,5,2026-09-09,ok,0,,,4.18.0
249,Kila Kila,5,2026-09-09,oke,0,,,4.18.0
250,Sat set Group,5,2026-09-09,mudah,0,,,4.18.0
251,pornomo ae,5,2026-09-09,sangat bagus,0,,,4.18.0
252,siti Sadiah,1,2026-09-09,"kenapa selalu log out sendiri, giliran masuknya susah, kesel banget tau gak, aplikasi nya udah bagus padahal, tolong ini perbaiki aplikasinya, awal pake apk ini baik-baik aja, sekarang jadi kaya gini,",0,,,
253,Habibi 1234,5,2026-09-09,ok,0,,,
254,bang Wariono,5,2026-09-09,respon cepat,0,,,4.18.0
255,Delima Agam,5,2026-09-09,sangat membantu,0,,,
256,Ayu Ridwan,5,2026-09-09,terbaik sllu jln mobile sangat membantu,0,,,
257,Ruslan New,5,2026-09-09,cepat dalam perubahan data,0,,,4.18.0
258,Sefia Wijaya,1,2026-09-09,"app nya kenapa loh, dr awla bulan smpe skrg gbs d buka buka",0,,,
259,Tumiur lam Silalahi,4,2026-09-09,saya butuuh splikasionile jkn ingin dapter,0,,,
260,AFRIAN 24 MX,1,2026-09-09,"administrasi di buat sulit, BPJS tapi daftar harus online. di aplikasi, rujukan puskesmas sering hilang yg buat harus mondar mandir ke RS utk administrasi saja. tidak dapat penanganan dokter di hari yg sama saat daftar online di aplikasi. berputar-putardi lingkaran setan bagian administrasi saja ke buru mati duluan orang. aplikasi sering error sendiri. ngak perna maju Indonesia",0,,,4.18.0
261,Nopri Ipang,5,2026-09-09,aplikasinya sangat membantu,0,,,4.18.0
262,yanto anto,2,2026-09-09,bobrok ribet,0,,,
263,Aulia Maharani,5,2026-09-09,cukup membantu,0,,,
264,Nasrudin Hilmi,1,2026-09-09,"aplikasi lemot, di wajibkan ambil antrian lewat aplikasi, tapi setiap daftar antrian selalu gak bisa.",0,,,4.16.1
265,Surah Man,1,2026-09-09,aplikasi bikin emosi tiba tiba keluar sendiri mana lupa sandi lgh,0,,,4.7.0
266,Ernia Wati,5,2026-09-09,mntap dan cpat,0,,,
267,Marsa'ed 16,5,2026-09-09,pelayanan bagus,0,,,4.18.0
268,Siti Aminah,5,2026-09-09,ok bagus,0,,,4.18.0
269,rasya alip,1,2026-09-09,apk gajelas mau daftar aja susah bgt,0,,,4.18.0
270,YOSERI,3,2026-09-09,susah banget mau masuk caphca nya salah terus,0,,,4.18.0
271,Wisnu Soeharto,5,2026-09-09,ok,0,,,4.18.0
272,Ivan Ardiansyah,1,2026-09-09,APLIKASI SERING ERROR,0,,,4.18.0
273,Budi riyadi,5,2026-09-09,ok,0,,,
274,Erma Widiyasari,5,2026-09-09,trmksh sllu membantu dlm hal pendftran ke RS,0,,,4.18.0
275,Muhammad Sunardi,1,2026-09-09,makin kesini daftar antrian susahnya minta ampun,0,,,4.18.0
276,Malik AG,5,2026-09-09,keren dan sangat membantu,0,,,4.18.0
277,Rugaya Jafar,5,2026-09-09,mntap,0,,,4.17.0
278,A.RASYID SYID,5,2026-09-09,selamat anda berobat,0,,,4.18.0
279,Sukanagara Czr,1,2026-09-09,knapa jadi gak bisa ngambil antrian padahal sudah dapatar no salah terus,0,,,4.18.0
280,Budi Marwanta,5,2026-09-09,sangat baik,0,,,4.17.0
281,Lucky Fernandez,5,2026-09-09,kualitas aplikasi sudah standar aplikasi pemerintah Indonesia tapi update datanya masih lambat.,0,,,
282,Mchamp,1,2026-09-09,aplikasi belum mapan. error trus,0,,,4.18.0
283,Rendi Rustiana,5,2026-09-09,Alhamdulillah sehat dan kuat,0,,,4.18.0
284,Muchamad Sulaiman,2,2026-09-09,sangat membantu sekali,0,,,4.16.0
285,Juanita Gisellawati,1,2026-09-09,"saya sih kasian aja ya sama yg udh sepuh², milenial & gen z aja frustrasi make apk ini",0,,,4.18.0
286,rismanto uye,5,2026-09-09,ok,0,,,4.18.0
287,Ruslan79,1,2026-09-09,"saya sangat kecewa,setiap mau daptar online, selalu gagal,dan selalu jawaban sedang di proses,tolong dong sistem ya di perbaiki,supaya mempermudah dan ❌tidak mempersulit, sekian terimakasih",0,,,4.18.0
288,SIHANA SMAN 1 SKA,5,2026-09-09,useful,0,,,
289,Rina Umami,5,2026-09-09,mjkn sangat membantu,0,,,4.18.0
290,Reni Gawe,1,2026-09-09,"mau ngisi rekam medis error terus udah 2 Minggu, Gimna orang mau daftar untuk berobat online aplikasi yang sangat tidak berguna hapus saja dari play store,",0,,,
291,aditiya reynaldi,1,2026-09-09,"aplikasi sampah, daftar ga bisa bisa, kode otp sms ga masuk2 ,, taiik lah hapus aja ni aplikasi sampah",0,,,
292,Asfia Jaohari,1,2026-09-09,"error mulu aku nungguin mau PSA berapa bulan mrn, eh pas deket mau berobat malah di suruh di batalin, pas mau di batalin error mulu server nya",0,,,
293,Romi Ariawati,1,2026-09-09,"buruk, mau daftar aja gk bisa",0,,,4.18.0
294,Nurlinda Faisal,2,2026-09-09,tidak bisa masuk ke menu untuk ambil antrian,0,,,4.18.0
295,Dwi Yulinawati,5,2026-09-09,bagus,0,,,4.18.0
296,Sambel Setan,5,2026-09-09,ok,0,,,4.18.0
297,Annisa Helmalia Fitri,2,2026-09-09,apk eror mau digunakan,0,,,4.18.0
298,FajarSriwahyuni Wahyuni,5,2026-09-09,ok,0,,,4.18.0
299,Ridwan Nurdin,1,2026-09-09,"banyak bug, antrian 0 masih ga bisa daftar padahal jadwal sudah di buka",0,,,4.18.0
300,Krisna Fahmi,1,2026-09-09,"gangguan mulu, dikit2 harus login bikin ribet, bikin aplikasi banyak kurangnya kayak gini masa abisin anggaran 30 triliun bahkan buzzer aja nyampe sini komennya...bikin bete aja",0,,,
301,RISDIANA UTAMI 79,5,2026-09-09,sangat membantu,0,,,4.18.0
302,Imanuel Rizky,5,2026-09-09,sangat baik,0,,,4.17.0
303,Mario Trevel,5,2026-09-09,👍👍👍👍,0,,,
304,Hernita Widiyani,1,2026-09-09,"mau daftar tulisan nya bad request mulu, apa apa an ini apk tidak sama sekali membantu!!!! kata gw mah kaga ush bikin apk so so an akhirnya menyulitkan",0,,,4.18.0
305,Agus Sunaryono,5,2026-09-09,mantap,0,,,4.18.0
306,Syaiful Rozaq,1,2026-09-09,bapuk Aplikasi Gratisan. Jijik Ko bisa yah kaya gini aplikasi.,0,,,4.18.0
307,PAKTUA MERAH,1,2026-09-08,"udah 2 hari minta kode otp gak datang datang, gimana mau daftar 🤦",0,,,
308,Noe Farhan,5,2026-09-08,keren,0,,,4.18.0
309,Tri Sutrisno,4,2026-09-08,"Tolonglah diperbaiki lagi aplikasinya ,masak mau daftar gak bisa terus.gak bisa sementara tapi udah berkali kali gitu trus yang muncul",0,,,4.18.0
310,Yeti Curup,5,2026-09-08,bagus,0,,,4.18.0
311,Eno Putra,3,2026-09-08,"kenapa saya tidak bisa Download jkn, tulisan perangkat tidak sesuai versi ini?",0,,,
312,Imam Sutaji,5,2026-09-08,pendaftaran lebih cepat,0,,,4.18.0
313,endy .H,5,2026-09-08,"bagus, semakin mudah di gunakan",0,,,4.18.0
314,mochamad rasyad,5,2026-09-08,memudahkan,0,,,4.18.0
315,nita pabuntang,5,2026-09-08,Aplikasi ini memberikan kemudahan bagi peserta BPJS Kesehatan untuk mengakses layanan kesehatan secara digital tanpa harus datang langsung ke kantor atau mengantre lama di fasilitas kesehatan.,0,,,4.18.0
316,Wi Narsih,5,2026-09-08,sangat mudah,0,,,4.18.0
317,Kartini Tini,2,2026-09-08,aplikasi ini terkadang tdk langsun login.,0,,,4.14.0
318,Robby Dwi Firmansyah,5,2026-09-08,"aplikasi nya menurut saya sekarang bagus, ngga ngelag, dan gampang dibuka, trus ketika ada aduan dalam waktu tidak sampai 24 jam sudah ada tanggapan sesuai nomor antrian, dan juga sekarang fiturnya juga sudah bagus mengikuti kebutuhan masyarakat...",0,,,
319,Kadek Nila Ayu Wilyanti,1,2026-09-08,"Aku mau login di hp baru ku tapi lupa sandi, udah ngikutin arahan dari aplikasi masukin nik dan nomor hp yg terdaftar trs disuruh masukin kode verifikasi tp ditunggu sampe 10 menit gada kode yang masuk ke sms. Tolong ini gmna sih? udh coba berkali kali masih aja gitu.",0,,,4.18.0
320,Rudi Chandra Kaban,5,2026-09-08,bagus,0,,,4.18.0
321,Awan Hermawan,1,2026-09-08,"sudah 3 xdi jadwalkan ulang trs krna dokter y tidak ada, dan tidak memberikan solusi unuk ktmu dokter lain",0,,,
322,Anty,5,2026-09-08,lebih memudahkan,0,,,
323,Roky Krisdianto,5,2026-09-08,good,0,,,4.18.0
324,Pujiatilestari,1,2026-09-08,aplikasi tidak bisa di gunakan!!,0,,,
325,Sukardi Kadi,5,2026-09-08,ok banget,0,,,4.18.0
326,Malikal Pasha,4,2026-09-08,sangat senang,0,,,4.18.0
327,Agus Marhendrajaya,5,2026-09-08,bagus,0,,,4.15.0
328,Kamto Kb,5,2026-09-08,mantap,0,,,4.18.0
329,Reza Rizky Amelia,3,2026-09-08,"Ini gimana sih mau daftar antrian gak sesuai sama ketersediaan nomor, harusnya kalau memang sudah penuh itu di update.",0,,,4.18.0
330,Turah Solikin,5,2026-09-08,"good,nice",0,,,4.18.0
331,Rusdi Jepara,5,2026-09-08,mantap,0,,,4.18.0
332,andre paserera,5,2026-09-08,Good,0,,,
333,isti almeera,5,2026-09-08,memudahkan dalam berobat,0,,,4.18.0
334,Riyo never flash,1,2026-09-08,"verifikasi susah amat,. perbaiki kalo bisa. verifikasi ga dikirim2.",0,,,
335,Benny Syahputra,1,2026-09-08,"tiba2 keluar sendiri. tp mau masuk lagi dipersulit. yg kata nya vaptcha salah, Internet nya mati.. aplikasi gak bermutu.",0,,,4.18.0
336,VIDI Adriansyah,1,2026-09-08,aplikasi bapuk benerin dulu tuh verifikasi wajah nya duit nya di korup Mulu sih bikin aplikasi kaga bener hdehhh,0,,,4.18.0
337,Nitaaa Djdbd,5,2026-09-08,bagus,0,,,4.18.0
338,Siti Choiriyah,5,2026-09-08,bagus,0,,,4.17.0
339,Sawal Noto Susilo,5,2026-09-08,lebih mudah,0,,,4.18.0
340,Sururiyah Ibu,4,2026-09-08,lancar,0,,,4.13.1
341,Na-Mi-Vi-Ca,1,2026-09-08,"ini kenapa tidak bisa login si, tombol masuknya tidak bisa d klik",0,,,4.18.0
342,Rika Wahyuni,5,2026-09-08,"Benar benar sangat membantu, memudahkan",0,,,4.18.0
343,Yudhistira WP,5,2026-09-08,okeh banget sah,0,,,4.18.0
344,Widya quy,5,2026-09-08,sangat puas dengan pelayanan,0,,,4.18.0
345,Nendhe Praviga,1,2026-09-08,"Terbaik lah, mau login minta kode verifikasi gangguan mulu, mana nunggu nya lama lagi. ini kalian emang pada berharap pasien mati dulu baru dikirim ya",0,,,4.18.0
346,Lady R,1,2026-09-08,"gak bagus samsek, berkali-kali daftar rehab tapi gk ada info jelas gimana cara bayarnya. ini sebenarnya mau dibayar apa gak sih. notif doang bikin sampah tapi mau bayar dipersulit",0,,,
347,Lili Hardiana,5,2026-09-08,best,0,,,4.18.0
348,Riki Alazid,5,2026-09-08,proses nya cepat dan sangat mudah di pahami,0,,,4.18.0
349,Syamsidar Mappa,1,2026-09-08,Krn TDK bisa didownload kmbli,0,,,
350,Bunda Charly,5,2026-09-08,sangat membantu,0,,,4.18.0
351,Ody Farid prasetyo,5,2026-09-08,sangat membantu pada saat sakit,0,,,4.18.0
352,Qwitpra 04,5,2026-09-08,mantappp....,0,,,
353,SYAYYIDAH Al MARDLIYYAH,1,2026-09-08,"verifikasi wajah ga bisa” sudah 1 jam saya verifikasi, tolong segera diperbaiki.",0,,,
354,Rafa Istiqomah,1,2026-09-08,aplikasi Tolol dimasukin no.hp gak bisa bisa,0,,,4.18.0
355,Viona Shelly,1,2026-09-08,login susah,0,,,4.18.0
356,nur faizah05,3,2026-09-08,nunggu antrian. panja6 poli kosong. yg punya nomor blm hadir lama. sebaiknya nomor antrian bila datang k lokasi di reset ulang,0,,,
357,46 X men,1,2026-09-08,sudah daftar sidik jari login ga bisa lupa password mengulang terus,0,,,4.18.0
358,Teguh Santosa,1,2026-09-08,"aplikasi jadul, keamanan masih verifikasi sms, pake pulsa. sekali sms 5ribu. apk pemerintah g bs hidup klo g makan uang rakyat",0,,,4.18.0
359,Nurhidayatullah Mustajib,4,2026-09-08,ok,0,,,4.18.0
360,Arya Maysa,1,2026-09-08,tolol amat kirim otp aja pake pulsa. kenapa program pemerintah selalu dongo,0,,,4.18.0
361,Jackson Graves,1,2026-09-08,"ga bisa daftar, karena kode verification no hp ga dikirim, hapus ajah menu daftar nya kalo ga di pake",0,,,4.18.0
362,SIAGIAN HENDRIK FANCO,5,2026-09-08,Sangat Membantu,0,,,4.18.0
363,Raihan,1,2026-09-08,"hama, jaringan bagus di apk nya loading terus",0,,,
364,Arif Rachman,5,2026-09-08,saya suka mjkn ini,0,,,4.18.0
365,Riani Pebriani,5,2026-09-08,memudahkan ❤️,0,,,4.18.0
366,Mahrup,5,2026-09-08,bagus bgt aplikasi ini cepat dan mudah di pahami,0,,,4.18.0
367,Supriyanto,5,2026-09-08,"bagus tapi captcha jangan terlalu rumit dan sulit,kasihan para orang tua",0,2022-07-17,"""Hai…Terima kasih atas review dan rating yang diberikan Kami akan terus melakukan perbaikan dan penyempurnaan pada aplikasi Mobile JKN untuk memberikan kecepatan dan kemudahan layanan bagi peserta JKN. Kami terus melakukan penyempurnaan terhadap kendala Aplikasi yang anda sampaikan untuk kenyamanan pengguna. Terima kasih.""",4.18.0
368,rendy adrysh,1,2026-09-08,"lag parah,server down padahal wifi/data udh oke.jadinya terhambat buat daftar antrian",0,,,4.18.0
369,Indra wahyudi,5,2026-09-08,mantul aplikasinya,0,,,4.18.0
370,Hatchie,1,2026-09-08,"verifikasi no hp tidak bisa,, perbaiki saja",0,,,
371,Muhifa Kalsum,5,2026-09-08,"ini gimana si aplikasi nya,kemarin masih aman aku liat ,dapat nomor antrean buat tanggal 17 bisa,ko tadi aku cek tiba tiba ke log out sendiri? sandinya dimasukin salah salah Mulu tolong dong ini gmn besok saya berobatnya",0,,,
372,mohammad farid,1,2026-09-08,"aplikasi lemot ngehank terus, mau bayar malah dipersulit",0,,,4.18.0
373,Nurhayati Rohadi,5,2026-09-08,berobat bpjs menggunakan jkn mobile mudah utk meng akses data dan antrean,0,,,4.18.0
374,Nova Skyva,4,2026-09-08,bisakah login pakai gmail tanpa ktp captcha dan bagaimana jika tidak bayar denda bpjs ...bagaimana jika merubah rujukan untuk daftar online,0,,,
375,shimi,1,2026-09-08,"verifikasi wajah selalu gagal, saat diminta kode otp, itu pesan otp nya tidak masuk2 padahal sudah bener nomor hp yang di masukan untuk menerima kodenya, atau emang bermasalah aplikasi nya?",0,,,
376,Dista Alvianto,1,2026-09-08,"untuk call centernya memang selalu mengangkat telfon , tapi setiap 5 menit tiba tiba signal dr pihak call center merah sedangkan signal kita penuh , ya masak sekelas jkn kek gini",0,,,4.18.0
377,Siti Nurhayati,5,2026-09-08,mantap jiwa 😎😎😎,0,,,4.18.0
378,Nuka Nua,1,2026-09-08,"tolong aplikasi JKN, jangan mempersulit orang, mau ambil no antrian online saja, tidak bisa masuk, pada hal sudah pakai lama, masa bilang nomor KTP salah, kata sandi salah, pada hal semuanya susah benar. paling lucu lagi disuruh daftar ulang, ini bego sekali aplikasi mambtu ilang malahan mempersulitkan orang. aturan macam apa ini.",0,,,
379,munawir hadi,1,2026-09-08,staff IT nya ini mungkin yg abal abal 😂 bisa bisanya daftar online gg pernah bisa ke buka 🤣🤣,0,,,
380,anang rusdi,5,2026-09-08,sangat membantu,0,,,4.14.0
381,Novi Hendriyanto,5,2026-09-08,Aplikasi sangat membantu,0,,,4.18.0
382,urip pitriyah,5,2026-09-08,sangat membantu dlm mengambil nomor antrian,0,,,
383,Roman Vecto,1,2026-09-08,lagi eror aplikasi nya ya kira-kira kapan ini di perbaiki nya,0,,,4.18.0
384,Dwiga Rahmat,1,2026-09-08,mau daftar masak pilihan dokternya gak bisa segera diperbaruilah,0,,,4.18.0
385,Ari Putra,5,2026-09-08,bagus dan memuaskan,0,,,4.18.0
386,Danu Susanto,5,2026-09-08,reaponsif,0,,,4.18.0
387,Khorina Aditia,1,2026-09-08,"Masa mau verifikasi lewat sms aja harus pakai pulsa dulu, aneh banget. Mending nggak usah pakai aplikasi dehh.",0,,,4.18.0
388,Ikhwan Awwalu,1,2026-09-08,lagi eror kah? saya nggak bisa daftar online,0,,,4.18.0
389,Unknown Faqih,1,2026-09-08,login nya sulut banget ngulang² terus,0,,,4.18.0
390,Rudi Miftah,5,2026-09-08,lumayan,0,,,
391,Asni Rusman,5,2026-09-08,pelayanan baik,0,,,4.18.0
392,Diana Pesek,5,2026-09-08,kemudahan layanan,0,,,
393,Hinda Yanti,1,2026-09-08,asli ribet rs islam sitihajar. pasien dihajar habis oleh verifikasi 🥲,0,,,4.18.0
394,AGUSTIAN.G Gunawan,5,2026-09-08,good bagus,0,,,4.18.0
395,Jesen Kauwang,1,2026-09-08,"ampas bgt apk pemerintah 1 ini, mau daftar aja dipersulit, kamera identifikasi muka aja ga becus, ampasnya ngampas bgt!!",0,,,4.18.0
396,siti rahmawati,3,2026-09-08,hp dulu bisa download app ini. kenapa sekarang tidak🥵🥵🥵,0,,,
397,Rafif Zainul,1,2026-09-08,root matamu root,0,,,
398,Weni Afrida,1,2026-09-08,"aplikasi nya jelek padahal aplikasi untuk layanan masyarakat, tiba tiba akun log out sendiri giliran mau login lagi tombol login nya gak bisa respon apa apa, jdi gak bisa masuk ke aplikasi. ini sangat perlu diperbaiki secepatnya kasihan orang yang mau ambil antrean kontrol gimana mau ambil antrean kalo gak bisa login, tolong buat segera direvisi aplikasi layanan ini krna sangat menggangu jika tidak bisa berjalan sesuai ketentuan nya.",0,,,
399,Kayla Nahdha,5,2026-09-08,pingin rubah klas untuk angota keluarga caranya gimana ya,0,,,4.18.0
400,Heni hendrayani,2,2026-09-08,suda no induk sudah berulsandi capca masuk tetap ga bisa login kecewa susah,0,,,4.18.0
401,Ricky Ablizar,4,2026-09-08,"Mohon aplikasi ini lebih disempurnakan lagi,terutama pengaduan masyarakat.Dan kalau bisa diadakan live chat agar semua masalah dapat diselesaikan dengan baik tanpa harus mengunjungi kantor dinsos yg terkadang pengurusannya rumit.Terima Kasih 🙏🙏🙏",0,,,4.18.0
402,Rankar Romantika,5,2026-09-08,"ini sangat tidak menguntungkan bagi lansia yang ingin berobat, verivikasi wajah gagal terus, verivikasi SMS gagal terus, di ulang tetap gagal terus, tambah mempersulit kalau proses nya seperti ini",0,,,4.18.0
403,amel rose,5,2026-09-08,mantep 👍,0,,,4.18.0
404,Eman Ependi,5,2026-09-08,Bagus cepat tepat,0,,,
405,Rizqi Kamalia,4,2026-09-08,servernya harus diperbaiki lagi. sering ngebug waktu mau ambil antrian online.,0,,,4.18.0
406,Kerang Ijo,1,2026-09-08,tolong dong bisa buat semua hp klo ga kompektibel gimana bsa buat berobat,0,,,4.16.1
407,Sarifatimah Sari,5,2026-09-08,Sangat membantu,0,,,4.18.0
408,Adhis Muhamad,5,2026-09-08,Membantu dan memudahkan secara praktis👍,0,,,4.18.0
409,Akbar Muhammad,1,2026-09-08,"Nomor sudah sesuai, tapi tidak terkirim dan untuk meminta ulang kode OTP, harus menunggu sangat lama",0,,,4.18.0
410,asep cepot,5,2026-09-08,ok,0,,,4.18.0
411,Siti Munawaroh,5,2026-09-08,kenapa tidak masuk daftar Mobile jkn nya,0,,,4.18.0
412,yaar,1,2026-09-08,"g bisa daftar, verifikasi sulit....",0,,,4.18.0
413,Faris,5,2026-09-08,cepat tanggap dalam melayani .. pokoknya 👍 👍👍,0,,,4.18.0
414,Ibnu Hendrian,1,2026-09-08,jelek ga bisa mendaftar udah 2 hp di coba tetap bad request,0,,,4.18.0
415,Sah Roni,2,2026-09-08,ko ga bisa kebuka lgi y,0,,,4.14.0
416,Parker McCall,5,2026-09-08,sangat membantu,0,,,4.18.0
417,Hasbi Ramadhan,5,2026-09-08,bagus,0,,,
418,Heri Yanto,1,2026-09-08,"Buat penyedia aplikasi jkn,klo g niat membantu masyarakat kecil mending g usah sama sekali.. apk g guna begini.. daftar satu hari full hanya untuk menunggu otp yg g jelas",0,,,4.18.0
419,Sarah chika Sarah chika,5,2026-09-08,luar biasa 💯👍,0,,,4.18.0
420,Slamet Herman Prayoga,5,2026-09-08,Alkhamdulillah perubahan data cepat direson,0,,,4.18.0
421,Novan Fadil,1,2026-09-08,aplikasi jangan du downloaded ga menyarankan untuk daftar di sini soal ini gajelas apk bego nomor salah mulu padhal dh bener ga masuk sms,0,,,4.18.0
422,Bang Veve,2,2026-09-08,aplikasi gk jelas log out sndiri,0,,,4.18.0
423,Cece,5,2026-09-08,aplikasi tidak bisa dibuka di hp saya.,0,,,4.18.0
424,Dadan Nuramdani,1,2026-09-08,"terlalu banyak masalah di aplikasi, mempersulit pendaftaran dan ke pelayanan",0,,,4.18.0
425,Rico Ramananda,5,2026-09-08,Terbaikkkkkk,0,,,4.18.0
426,Juliusperkasa Putra,1,2026-09-08,"ini kode otp ga masuk"" apa mungkin masuknya pas kiamat",0,,,4.18.0
427,teguh suprianto,1,2026-09-08,verifikasi wajah susah bnget,0,,,4.18.0
428,Nur Fadilla,5,2026-09-08,sjk donlod aplikasi ini semua gampang,0,,,4.18.0
429,Mama Tama,5,2026-09-08,cepat dan akurat,0,,,
430,andrie daud,5,2026-09-08,Sangat membanting,0,,,4.18.0
431,amat yasir,5,2026-09-08,pelayanan oke,0,,,
432,slamet fajar,5,2026-09-08,ok,0,,,4.18.0
433,Faisal Abdul lontoh Ferri,5,2026-09-08,mudah dan membantu,0,,,
434,Riani Ani,5,2026-09-08,Bagus dan sangat membantu,0,,,4.18.0
435,Ariansyah,1,2026-09-08,lemot,0,,,4.18.0
436,DienN 2423j,1,2026-09-08,tidak mendapat kode otp,0,,,4.18.0
437,M. Naufal Ramadhan Dias,5,2026-09-08,sangat mudah untuk mengganti dokter faskes 1 dan berobat,0,,,4.18.0
438,Wawan Julian,5,2026-09-08,mudah digunakan dan memudahkan masyarakat,0,,,
439,indi harin Mustofa,5,2026-09-08,aplikasi sangat bermanfaat bagi masyarakat,0,,,4.16.1
440,Alfine Nanda,1,2026-09-08,"mohon maaf sebelumnya, apk nya ribet bangettt masih verifikasi kode otp lewat email, verifikasi kode otp pake no hp, pas udah kita ketik no hp selalu eror udah saya coba lebih dari 10X dari kemaren tapi masih tetep aja, katanya pulsa minimal 5K sedangkan pulsa saya ada 15K tapi tetep ga bisa, sedangkan dari tim kesehatan di RS atau puskesmas harus make apk jkn dan pas saya bilang ga bisa mereka juga bingung? adek saya juga sudah mencoba di hp nya sendiri tapi ga bisa juga? mohon maaf dan makasih",1,,,4.18.0
441,Asha Hijra,4,2026-09-08,mantap semoga lancar jaya !,0,,,4.18.0
442,Febri Ardiansyah,5,2026-09-08,ok,0,,,
443,Tutut Santoso,5,2026-09-08,"mau periksa harus daftar lewat aplikasi, tp kenapa aplikasinya error. no connection, pdhl paketan masih 26GB 🥲",0,,,4.18.0
444,Aldidesu,1,2026-09-08,"aplikasi pemerintah ga ada yang bener. captcha ga jelas, verif nomer hape hatus pake pulsa. gojek aja bisa pake WhatsApp yang mana pake paket data. hari gini tuh udah ga banyak orang yang punya pulsa, punyanya paket data. rugi gue kudu beli pulsa 5000 cuma buat pindah puskesmas",0,,,4.18.0
